[225, 256, 228, 183, 288, 145, 242, 180, 245, 239]
[173, 206, 253, 215, 354, 151, 264, 197, 212, 244]
[109, 132, 162, 150, 259, 134, 197, 141, 174, 212]
[229, 272, 292, 145, 355, 185, 259, 279, 186, 268]
[216, 236, 300, 177, 352, 154, 277, 227, 199, 305]
[194, 250, 219, 227, 329, 177, 257, 190, 270, 258]
[146, 172, 177, 172, 298, 139, 214, 166, 204, 230]
[133, 176, 162, 197, 273, 111, 200, 117, 250, 184]
[191, 188, 179, 139, 225, 96, 189, 163, 139, 173]
[209, 215, 230, 240, 333, 151, 266, 195, 215, 276]
